,time,value,value_classification
126,2025-09-16 00:00:00+00:00,52,Neutral
127,2025-09-17 00:00:00+00:00,53,Neutral
128,2025-09-18 00:00:00+00:00,52,Neutral
129,2025-09-19 00:00:00+00:00,53,Neutral
130,2025-09-20 00:00:00+00:00,48,Neutral
131,2025-09-21 00:00:00+00:00,49,Neutral
132,2025-09-22 00:00:00+00:00,45,Fear
133,2025-09-23 00:00:00+00:00,43,Fear
134,2025-09-24 00:00:00+00:00,44,Fear
135,2025-09-25 00:00:00+00:00,44,Fear
136,2025-09-26 00:00:00+00:00,28,Fear
137,2025-09-27 00:00:00+00:00,33,Fear
138,2025-09-28 00:00:00+00:00,37,Fear
139,2025-09-29 00:00:00+00:00,50,Neutral
140,2025-09-30 00:00:00+00:00,50,Neutral
141,2025-10-01 00:00:00+00:00,49,Neutral
142,2025-10-02 00:00:00+00:00,64,Greed
143,2025-10-03 00:00:00+00:00,63,Greed
144,2025-10-04 00:00:00+00:00,71,Greed
145,2025-10-05 00:00:00+00:00,74,Greed
146,2025-10-06 00:00:00+00:00,71,Greed
147,2025-10-07 00:00:00+00:00,70,Greed
148,2025-10-08 00:00:00+00:00,60,Greed
149,2025-10-09 00:00:00+00:00,70,Greed
150,2025-10-10 00:00:00+00:00,64,Greed
151,2025-10-11 00:00:00+00:00,27,Fear
152,2025-10-12 00:00:00+00:00,24,Extreme Fear
153,2025-10-13 00:00:00+00:00,38,Fear
154,2025-10-14 00:00:00+00:00,38,Fear
155,2025-10-15 00:00:00+00:00,34,Fear
156,2025-10-16 00:00:00+00:00,28,Fear
157,2025-10-17 00:00:00+00:00,22,Extreme Fear
158,2025-10-18 00:00:00+00:00,23,Extreme Fear
159,2025-10-19 00:00:00+00:00,29,Fear
160,2025-10-20 00:00:00+00:00,29,Fear
161,2025-10-21 00:00:00+00:00,34,Fear
162,2025-10-22 00:00:00+00:00,25,Extreme Fear
163,2025-10-23 00:00:00+00:00,27,Fear
164,2025-10-24 00:00:00+00:00,30,Fear
165,2025-10-25 00:00:00+00:00,37,Fear
166,2025-10-26 00:00:00+00:00,40,Fear
167,2025-10-27 00:00:00+00:00,51,Neutral
168,2025-10-28 00:00:00+00:00,50,Neutral
169,2025-10-29 00:00:00+00:00,51,Neutral
170,2025-10-30 00:00:00+00:00,34,Fear
171,2025-10-31 00:00:00+00:00,29,Fear
172,2025-11-01 00:00:00+00:00,33,Fear
173,2025-11-02 00:00:00+00:00,37,Fear
174,2025-11-03 00:00:00+00:00,42,Fear
175,2025-11-04 00:00:00+00:00,21,Extreme Fear
176,2025-11-05 00:00:00+00:00,23,Extreme Fear
177,2025-11-06 00:00:00+00:00,27,Fear
